[2026-09-24 | 20:44:50] INFO     [scrapers.fawa] URL 12) Captured M3U8                                                  (fawa.py:33)
[2026-09-24 | 20:44:50] INFO     [scrapers.webcast] URL 4) Captured M3U8                                                   (webcast.py:94)
[2026-09-24 | 20:44:50] INFO     [scrapers.tvf90] URL 10) Captured M3U8                                                  (tvf90.py:58)
[2026-09-24 | 20:44:50] INFO     [scrapers.fawa] URL 13) Captured M3U8                                                  (fawa.py:33)
[2026-09-24 | 20:44:51] INFO     [scrapers.fawa] URL 14) Captured M3U8                                                  (fawa.py:33)
[2026-09-24 | 20:44:51] INFO     [scrapers.streamcenter] URL 5) Captured M3U8                                                   (streamcenter.py:61)
[2026-09-24 | 20:44:51] INFO     [scrapers.tvf90] URL 11) Captured M3U8                                                  (tvf90.py:58)
[2026-09-24 | 20:44:51] INFO     [scrapers.fawa] URL 15) Captured M3U8                                                  (fawa.py:33)
[2026-09-24 | 20:44:51] INFO     [scrapers.webcast] URL 5) Captured M3U8                                                   (webcast.py:94)
[2026-09-24 | 20:44:51] INFO     [scrapers.fawa] URL 16) Captured M3U8                                                  (fawa.py:33)
[2026-09-24 | 20:44:51] INFO     [scrapers.streamcenter] URL 6) Captured M3U8                                                   (streamcenter.py:61)
[2026-09-24 | 20:44:51] INFO     [scrapers.fawa] URL 17) Captured M3U8                                                  (fawa.py:33)
[2026-09-24 | 20:44:52] INFO     [scrapers.fawa] URL 18) Captured M3U8                                                  (fawa.py:33)
[2026-09-24 | 20:44:52] INFO     [scrapers.webcast] URL 6) Captured M3U8                                                   (webcast.py:94)
[2026-09-24 | 20:44:52] INFO     [scrapers.fawa] URL 19) Captured M3U8                                                  (fawa.py:33)
[2026-09-24 | 20:44:52] INFO     [scrapers.streamcenter] URL 7) Captured M3U8                                                   (streamcenter.py:61)
[2026-09-24 | 20:44:52] WARNING  [scrapers.tvf90] URL 12) No iframe source found.                                        (tvf90.py:35)
[2026-09-24 | 20:44:52] INFO     [scrapers.fawa] URL 20) Captured M3U8                                                  (fawa.py:33)
[2026-09-24 | 20:44:52] INFO     [scrapers.fawa] URL 21) Captured M3U8                                                  (fawa.py:33)
[2026-09-24 | 20:44:52] INFO     [scrapers.webcast] URL 7) Captured M3U8                                                   (webcast.py:94)
[2026-09-24 | 20:44:52] INFO     [scrapers.tvf90] URL 13) Captured M3U8                                                  (tvf90.py:58)
[2026-09-24 | 20:44:52] INFO     [scrapers.fawa] URL 22) Captured M3U8                                                  (fawa.py:33)
[2026-09-24 | 20:44:52] INFO     [scrapers.streamcenter] URL 8) Captured M3U8                                                   (streamcenter.py:61)
[2026-09-24 | 20:44:53] INFO     [scrapers.fawa] URL 23) Captured M3U8                                                  (fawa.py:33)
[2026-09-24 | 20:44:53] INFO     [scrapers.tvf90] URL 14) Captured M3U8                                                  (tvf90.py:58)
[2026-09-24 | 20:44:53] INFO     [scrapers.fawa] URL 24) Captured M3U8                                                  (fawa.py:33)
[2026-09-24 | 20:44:53] INFO     [scrapers.webcast] URL 8) Captured M3U8                                                   (webcast.py:94)
[2026-09-24 | 20:44:53] INFO     [scrapers.streamcenter] URL 9) Captured M3U8                                                   (streamcenter.py:61)
[2026-09-24 | 20:44:53] INFO     [scrapers.tvf90] URL 15) Captured M3U8                                                  (tvf90.py:58)
[2026-09-24 | 20:44:53] INFO     [scrapers.fawa] URL 25) Captured M3U8                                                  (fawa.py:33)
[2026-09-24 | 20:44:53] INFO     [scrapers.fawa] URL 26) Captured M3U8                                                  (fawa.py:33)
[2026-09-24 | 20:44:53] INFO     [scrapers.fawa] Collected and cached 26 new event(s)                                   (fawa.py:135)
[2026-09-24 | 20:44:54] INFO     [scrapers.tvf90] URL 16) Captured M3U8                                                  (tvf90.py:58)
[2026-09-24 | 20:44:54] INFO     [scrapers.webcast] URL 9) Captured M3U8                                                   (webcast.py:94)
[2026-09-24 | 20:44:54] INFO     [scrapers.streamcenter] URL 10) Captured M3U8                                                  (streamcenter.py:61)
[2026-09-24 | 20:44:54] INFO     [scrapers.tvf90] URL 17) Captured M3U8                                                  (tvf90.py:58)
[2026-09-24 | 20:44:54] INFO     [scrapers.tvf90] URL 18) Captured M3U8                                                  (tvf90.py:58)
[2026-09-24 | 20:44:54] INFO     [scrapers.streamcenter] URL 11) Captured M3U8                                                  (streamcenter.py:61)
[2026-09-24 | 20:44:54] INFO     [scrapers.webcast] URL 10) Captured M3U8                                                  (webcast.py:94)
[2026-09-24 | 20:44:55] INFO     [scrapers.tvf90] URL 19) Captured M3U8                                                  (tvf90.py:58)
[2026-09-24 | 20:44:55] INFO     [scrapers.streamcenter] URL 12) Captured M3U8                                                  (streamcenter.py:61)
[2026-09-24 | 20:44:55] INFO     [scrapers.tvf90] URL 20) Captured M3U8                                                  (tvf90.py:58)
[2026-09-24 | 20:44:55] INFO     [scrapers.webcast] URL 11) Captured M3U8                                                  (webcast.py:94)
[2026-09-24 | 20:44:55] INFO     [scrapers.streamcenter] URL 13) Captured M3U8                                                  (streamcenter.py:61)
[2026-09-24 | 20:44:55] INFO     [scrapers.tvf90] URL 21) Captured M3U8                                                  (tvf90.py:58)
[2026-09-24 | 20:44:56] INFO     [scrapers.webcast] URL 12) Captured M3U8                                                  (webcast.py:94)
[2026-09-24 | 20:44:56] INFO     [scrapers.tvf90] URL 22) Captured M3U8                                                  (tvf90.py:58)
